id;name;natural_rating;desciption;inci_name;rating;categories
365;Produkt fermentacji Saccharomyces w obecnoœci jonów miedzi.;2;"Minera³y, w tym przypadku miedŸ, s¹ przekszta³cane przez dro¿d¿e zwane Saccharomyces cerevisiae w biodostêpny glikopeptyd o niskiej masie cz¹steczkowej. Dro¿d¿e s¹ nastêpnie usuwane, a peptyd miedzi mo¿e przenikaæ przez skórê.

Baza danych kosmetyków wymienia go jako produkt do pielêgnacji skóry. To grupa grzybów, które fermentuj¹ cukry i s¹ Ÿród³em beta-glukanu, który jest dobrym przeciwutleniaczem.

Wykazano, ¿e ¿ywe pochodne komórek dro¿d¿y stymuluj¹ gojenie siê ran, ale wiele z tego, co wiadomo na temat wp³ywu dro¿d¿y na skórê, jest teoretyczne i dotyczy regeneracyjnych i ochronnych w³aœciwoœci dro¿d¿y.

Badania wykaza³y, ¿e peptyd miedzi wspomaga produkcjê kolagenu i elastyny, a tak¿e dzia³a jako przeciwutleniacz. ";SACCHAROMYCES/COPPER FERMENT;1;{Substancja aktywna}
366;Produkt fermentacji Saccharomyces w obecnoœci jonów ¿elaza. ;2;"Saccharomyces odgrywa wa¿n¹ rolê w produkcji ró¿nego rodzaju ¿ywnoœci. Saccharomyces Iron Ferment to ekstrakt dro¿d¿owy, który jest fermentowany z jonami ¿elaza. Saccharomyces to rodzaj w królestwie grzybów i obejmuje kilka ró¿nych rodzajów dro¿d¿y. S³owo to dos³ownie oznacza cukier grzybowy w t³umaczeniu z greckiego. S¹ okr¹g³e i prawie owalne i tworz¹ askospory, zw³aszcza gdy rozwijaj¹ siê na agarze V-8 lub octanowym askosporach. Nawiasem mówi¹c, pod tym pojêciem rozumie siê dro¿d¿e piekarskie, zwane równie¿ dro¿d¿ami piwnymi. Oba s¹ grzybami saprofitycznymi i s¹ jednokomórkowe.

Dro¿d¿e s¹ czêsto u¿ywane do fermentacji wina lub do pieczenia. Sk³adnik mo¿e byæ równie¿ wykorzystany do produkcji niektórych leków. Enzym ¿elaza Saccharomyces mo¿e równie¿ powodowaæ psucie siê ¿ywnoœci z du¿¹ iloœci¹ cukru. Obejmuje to ¿ywnoœæ, tak¹ jak syrop klonowy, ketchup i inne przyprawy, a tak¿e niektóre soki.

Ferment ¯elazny Saccharomyces jest stosowany w produktach do pielêgnacji skóry g³ównie ze wzglêdu na dzia³anie antyoksydacyjne. Stwierdzono, ¿e ¿elazo ma wiele korzyœci dla skóry, w³osów i ogólnego stanu zdrowia. ¯elazo pomaga przenosiæ tlen w ca³ym ciele. ¯elazo poprawia równie¿ kondycjê w³osów i skóry, zmniejszaj¹c straty i promuj¹c przep³yw sk³adników od¿ywczych do wa¿nych obszarów cia³a. Sk³adniki zawarte w enzymie pomagaj¹ równie¿ poprawiæ funkcje lecznicze skóry i sprawiaj¹, ¿e wygl¹da ona zdrowiej. ";SACCHAROMYCES/IRON FERMENT;1;{Substancja aktywna}
367;Ekstrakt z fermentacji saccharomyces w obecnoœci jonów magnezu;2;"Ekstrakt dro¿d¿owy fermentowany w obecnoœci jonów magnezu jest znany jako Saccharomyces Magneium Ferment. Enzym pomaga w kondycjonowaniu skóry. Jest powszechnie uwa¿any za bezpieczny, a tak¿e ma w³aœciwoœci przeciwutleniaj¹ce. Przeciwutleniacze to wszelkie substancje, które hamuj¹ utlenianie, czyli dodatek tlenu. To tak¿e utrata elektronów wewn¹trz cia³a lub pierwiastka chemicznego.

Osoba mo¿e mieæ wigor i dobre zdrowie, zw³aszcza na zewn¹trz, uwa¿a siê, ¿e osoba musi przechowywaæ wystarczaj¹c¹ iloœæ minera³ów w swoich komórkach. Organizm ludzki zazwyczaj wykorzystuje ponad osiemdziesi¹t ró¿nych minera³ów, dziêki czemu mo¿e osi¹gn¹æ maksymaln¹ funkcjonalnoœæ. Jeœli dana osoba nie ma minera³ów w swoim ciele, mog¹ wyst¹piæ problemy skórne. Ferment magnezowy Saccharomyces znajduj¹cy siê w formu³ach przeciwstarzeniowych mo¿e pomóc w poprawie funkcji skóry.

Niektóre problemy skórne mog¹ obejmowaæ: rany nie goj¹ siê tak szybko i skutecznie, s¹ bardziej zestresowane z powodu utleniania, przebarwieñ, utraty du¿ej iloœci w³osów i wytrzyma³oœci skóry oraz wiêkszej podatnoœci na raka skóry. Zmarszczki s¹ równie¿ czêstsze u kogoœ, kto ma niedobór niektórych minera³ów. Saccharomyces Magnesium Ferment pomaga w produkcji minera³ów w organizmie, co przyczynia siê do ogólnego stanu skóry. ";SACCHAROMYCES/MAGNESIUM FERMENT;1;{Substancja aktywna}
368;Sfermentowane otrêby ry¿owe;2;Otrêby ry¿owe s¹ czêsto stosowane jako sk³adnik produktów kosmetycznych. Popularne w Korei i Japonii. Sfermentowane otrêby ry¿owe wytwarzane przez wspó³fermentacjê Lactobacillus i Saccharomyces wykazuj¹ dobry efekt wybielaj¹cy na skórze.;SACCHAROMYCES/RICE FERMENT FILTRATE;1;{Substancja aktywna}
369;est produktem fermentacji Saccharomyces w obecnoœci krzemu;2;"Saccharomyces / Silicon Ferment funkcjonuje w pielêgnacji skóry i kosmetyce jako sk³adnik nawil¿aj¹cy. Jest to produkt otrzymywany przez fermentacjê Saccharomyces w obecnoœci krzemu.

Wszystkie Saccharomyces s¹ wynikiem fermentacji dro¿d¿y saccharomyces cerevisiae w obecnoœci okreœlonego jonu; w tym przypadku krzem. Jest stosowany w produktach higieny osobistej jako produkt do pielêgnacji skóry i w³osów i uwa¿a siê, ¿e ma w³aœciwoœci przeciwutleniaj¹ce. ";SACCHAROMYCES/SILICON FERMENT;1;{Substancja aktywna}
370;Produkt fermentacji Saccharomyces w obecnoœci jonów cynku;2;"Cynkowa kultura starterowa Saccharomyces jest znana jako ekstrakt dro¿d¿owy kultury starterowej Saccharomyces w obecnoœci jonów cynku. Wiadomo g³ównie, ¿e poprawia zdolnoœæ skóry do wch³aniania wilgoci. Produkty do pielêgnacji skóry wykorzystuj¹ce cynk obejmuj¹ filtry przeciws³oneczne, produkty samoopalaj¹ce, przeciwutleniacze, produkty przeciwstarzeniowe i produkty przeciwtr¹dzikowe.

Saccharomyces Zing Ferment ma zdolnoœæ wch³aniania wilgoci w g³¹b skóry. W po³¹czeniu z innymi chemikaliami o ró¿nych w³aœciwoœciach mo¿e byæ równie¿ pomocny w zapobieganiu tr¹dzikowi. Wewn¹trz enzymu znajduje siê cynk, który ³¹czy siê metabolicznie z glikoproteinami komórkowymi pobranymi z innych ¿ywych komórek dro¿d¿y.

Wiadomo równie¿, ¿e enzym cynkowy Saccharomyces pomaga wzmocniæ i naprawiæ ludzk¹ skórê, dlatego sta³ siê niezbêdnym sk³adnikiem pielêgnacji przeciwstarzeniowej skóry. Sk³adnik pomaga w odnowie komórek i usuwaniu starych komórek w procesie znanym jako obrót komórkowy. Dziêki temu u¿ytkownicy mog¹ spodziewaæ siê jaœniejszej i jaœniejszej skóry.

Ponadto u¿ytkownicy mog¹ zauwa¿yæ, ¿e rany goj¹ siê szybciej, gdy sk³adnik jest zawarty w formule. Peptydy enzymatyczne, które mo¿na znaleŸæ w wielu produktach kosmetycznych, maj¹ zdolnoœæ zatrzymywania wilgoci i pobudzania komórek do gromadzenia siê lub naprawy. ";SACCHAROMYCES/ZINC FERMENT;1;{Substancja aktywna}
371;Hydrolat z kwiatów czarnego bzu;1;"Organicznie przetworzony hydrolat z czarnego bzu otrzymywany jest w procesie destylacji z par¹ wodn¹ z piêknych bia³ych kwiatów krzewu liœciastego Sambucus nigra, uprawianego w Stanach Zjednoczonych do destylacji hydrosolowej. Kwiaty kremowobia³e Sambucus nigra ssp. Caerulea tworzy hydrolat o delikatnym, ale s³odkim, owocowo-kwiatowym aromacie. Hydrolat z czarnego bzu jest bardzo wszechstronny i mo¿e byæ stosowany do ró¿nych celów samodzielnie lub jako sk³adnik wielu preparatów.

Hydrolat z czarnego bzu odœwie¿a i odm³adza oraz dobrze sprawdza siê jako dodatek do toników do twarzy, sprayów do cia³a, naturalnych zapachów i innych produktów do pielêgnacji cia³a na bazie wody, holistycznej aromaterapii i zapachów domowych. Zarówno kwiaty czarnego bzu, jak i czarnego bzu znane s¹ ze swoich w³aœciwoœci leczniczych i s¹ szeroko stosowane od wieków.

Hydrolat z czarnego bzu stosowany jest w kremach przeciws³onecznych, nawil¿aj¹cych lakierach do w³osów, zabiegach na skórê oraz jako œrodek zapachowy. ";SAMBUCUS NIGRA FLOWER WATER;1;{Substancja aktywna, Hydrolat}
372;Ekstrakt z grzewa sando³owego;1;"Drzewo sanda³owe to wiecznie zielone drzewo pochodz¹ce z Indii i Indonezji. Jego wysokoœæ siêga 8-12 m wysokoœci i 2,5 m obwodu. Kora jest g³adka i szarobr¹zowa, a drobne kwiaty maj¹ liczne krótkie pêdy.

W medycynie ludowej ekstrakt z drzewa sanda³owego stosowany jest jako œrodek antyseptyczny i œci¹gaj¹cy, a tak¿e w leczeniu bólów g³owy, bólów brzucha. W Indiach ekstrakt, emulsjê lub pastê z drzewa sanda³owego stosuje siê w leczeniu stanów zapalnych i erupcyjnych skóry. Ekstrakt zosta³ wykorzystany w tradycyjnym ajurwedyjskim systemie leczniczym jako œrodek moczopêdny i ³agodny œrodek pobudzaj¹cy, a tak¿e do wyg³adzenia skóry. ";SANTALUM ALBUM (SANDALWOOD) EXTRACT;1;{Substancja aktywna, Ekstrakt}
373;Sól morska;1;W kosmetyce sól morska ma bardzo szerokie zastosowanie, jest naturalnym konserwantem, przed³u¿a trwa³oœæ kosmetyków, reguluje lepkoœæ, jest sk³adnikiem odka¿aj¹cym, oczyszczaj¹cym, goj¹cym, przeciwzapalnym, œci¹gaj¹cym i tonizuj¹cym, przeciw³ojotokowym, ³agodz¹cym podra¿nienia, stosowana w preparatach do skóry tr¹dzikowej i t³ustej. Pomaga w likwidowaniu ³upie¿u, dzia³a przeciwpróchniczo, czêsto dodawana jest do past do zêbów. Dzia³a tak¿e detoksykuj¹co, st¹d stosowana w k¹pielach, wyci¹ga nadmiar wody z organizmu, likwiduje obrzêki i opuchniêcia nóg. Remineralizuje i opóŸnia procesy starzenia. Jest bardzo czêstym materia³em œciernym w peelingach mechanicznych do cia³a i stóp. Wspomaga likwidacjê cellulitu.;SEA SALT;1;{Œcierniwo, Substancja z³uszczaj¹ca, Substancja lecznicza, Substancja aktywna }
374;Morska woda;1;"Kontaktuj¹c cia³o z wod¹, która jest zawsze zimniejsza od temperatury powietrza, nastêpuje natychmiastowy skurcz naczyñ krwionoœnych. PóŸniej, po 2-5 minutach, ch³ód mija, naczynia rozszerzaj¹ siê, a ciep³o rozprzestrzenia siê po ca³ym ciele. I ju¿ na tym poziomie nastêpuje nie tylko stwardnienie organizmu i poprawa uk³adu sercowo-naczyniowego, ale tak¿e wzrost funkcji ochronnych skóry i jej zdolnoœci adaptacyjnych.

Woda morska zawiera jony soli sodu, potasu, magnezu, bromu i inne mikroelementy. Woda morska pomaga zmniejszyæ obrzêk i ponownie zwiêkszyæ napiêcie miêœni. A to nie wszystkie zalety dzia³ania wody morskiej na skórê. Jod w sk³adzie wody morskiej aktywuje regeneracjê komórek, co korzystnie wp³ywa na zachowanie m³odoœci i piêkna skóry. Ponadto jod wzmacnia stan uk³adu nerwowego, normalizuje pracê tarczycy oraz obni¿a poziom cholesterolu. Woda morska ³agodzi swêdzenie i podra¿nienie skóry i b³on œluzowych, dziêki czemu skutecznie zapobiega wielu chorobom grzybiczym.

Ponadto jest niezwykle przydatny dla osób ze skór¹ problematyczn¹. Pryszcze, tr¹dzik i inne ogniska zapalne znikn¹ samoistnie po kilku dniach p³ywania w czystej wodzie morskiej. Sprzyja temu nie tylko woda morska dla skóry (odka¿a i zatrzymuje), ale tak¿e promienie s³oneczne, które skutecznie wysuszaj¹ problematyczne obszary skóry. Woda ponownie poprawia zdolnoœæ komórek do regeneracji, dziêki czemu gojenie skóry nastêpuje znacznie szybciej. ";SEA WATER;1;{Substancja aktywna}
375;Ekstrakt z owoców palmy saba³owej;1;"Ekstrakt Saw Palmetto pozyskiwany jest z owoców Sereno serrule. Doœæ owocowe ekstrakty, np. modeluj¹ce, ? skuteczne metody leczenia ³ojotoku, pieczenia, przycinania i wypadania w³osów.

Preparaty z naturalnych i wysokiej jakoœci sk³adników, niezbêdnych dla zdrowia w³osów. Unikalna naturalna formu³a mo¿e pomóc odnowiæ kolor w³osów i zapobiec wch³anianiu enzymu melaniny przez mieszki w³osowe. Pratsyu dla kobiet i mê¿czyzn oraz skuteczny dla wszystkich rodzajów w³osów.

Wyci¹g z kar³owatej katalazy viroblya?, enzymu jaka, który jest u¿ywany jako winnica, aby pojawiaæ siê z siwymi w³osami. Z kolei zdolnoœæ wirobowalnoœci enzymu do katalazy jest zmniejszona, nie nadaj¹c mieszkom w³osowym wirusowoœci melaniny. W dniu niedoboru katalazy dochodzi do gromadzenia siê wody utlenionej, nasze w³osy s¹ obola³e, a nastêpnie siwe.

PABA to cetamina, podobna do witaminy B, która czêsto znajduje siê w suplementach na zdrowe w³osy. Niezbêdny zasób online na temat witamin pererakhovu PABA w postaci przemówienia na ca³e ¿ycie dla zdrowych w³osów i wyjaœniê, ¿e PABA, jak to siê pokazuje, nowy kolor w³osów w niektórych z pierwszych ostatnich zmian w iloœci odnowienia w³osów jest pokazane. ";SERENOA SERRULATA FRUIT EXTRACT;1;{Substancja aktywna, Ekstrakt}
376;Serycyna;1;Proteina jest substancj¹ hydrofilow¹, wp³ywa na odpowiednie nawil¿enie skóry i w³osów, dziêki czemu wp³ywa na kondycjê, czyli zmiêkcza i wyg³adza skórê i w³osy. Ze wzglêdu na wielkoœæ nie przenika przez naskórek. Substancja antystatyczna, tworzy oddzia³ywania z na³adowanymi ujemnie centrami na powierzchni w³osów – zapobiega ich elektryzowaniu.;SERICIN;1;{Substancja aktywna}
377;Estry etylowe mas³a Shea;1;"Estry etylowe mas³a shea s¹ estrem o niskiej lepkoœci, szybko rozprowadzaj¹cym siê i lekko pudrowym w dotyku na skórze po na³o¿eniu, podczas gdy estry oleilowe mas³a shea s¹ estrem o œredniej lepkoœci o wolniejszym rozprowadzaniu i daj¹cym aksamitn¹ miêkkoœæ w dotyku.

Ester etylowy SB to naturalny wybór do pielêgnacji w³osów. U³atwia przygotowanie ³agodnie pielêgnuj¹cych szamponów i od¿ywek. Szybko siê rozprowadza i tworzy cienk¹ warstwê, która pomaga chroniæ w³ókna w³osów przed stresem zewnêtrznym i utrat¹ wilgoci.

Ester etylowy SB, który ³atwo miesza siê z cyklometikonami i mo¿e czêœciowo mieszaæ siê z dimetikonami, jest szczególnie odpowiedni do kremów do twarzy i serum. Dobrze ³¹czy siê równie¿ ze sk³adnikami aktywnymi i pomaga poprawiæ estetykê produktów do skóry wra¿liwej i starzej¹cej siê. ";SHEA BUTTER ETHYL ESTERS;1;{Emolient}
378;Mas³o Illipe;1;Roœlinny olej t³uszczowy z owoców jednej z odmian drzewa Dammar (Shorea stenoptera), które roœnie na wyspie Borneo. Mas³o charakteryzuje siê stosunkowo gêst¹ konsystencj¹, zbli¿on¹ sk³adem i w³aœciwoœciami do mas³a kakaowego i mo¿e zast¹piæ je w preparatach kosmetycznych. Olejek Shorea to doœæ nowy produkt w kosmetyce, zawiera 43% kwasu stearynowego, 37% oleinowego, 18% kwasu palmitynowego. Polecany do stosowania w produktach do pielêgnacji skóry, preparatach do opalania. ;SHOREA STENOPTERA SEED BUTTER;1;{Emolient}
379;Krzemionka;2;Krzemionka lub krzem s¹ rzadko wymieniane jako niezbêdny minera³ w suplementach, ale wielu naukowców uwa¿a, ¿e ??jest to g³ówny sk³adnik piasku. Istniej¹ pewne kontrowersje dotycz¹ce tego, czy potrzebujemy dwutlenku krzemu, czy nie, ale jest coraz wiêcej dowodów na poparcie tego. Ogórki, seler, szparagi, owies, proso, jêczmieñ, s³odkie ziemniaki, zielone warzywa liœciaste, fasola, pory, a nawet truskawki s¹ doskona³ym Ÿród³em krzemionki. Jest to jeden minera³, który nale¿y zbadaæ znacznie dok³adniej, ale nadal istnieje wiele badañ wskazuj¹cych na korzyœci zdrowotne tu¿ pod powierzchni¹. Niezale¿nie od tego jest to jeden minera³, którego nie mo¿na ca³kowicie zignorowaæ. Krzemionka od dawna jest suplementem do w³osów, skóry i paznokci. Krzem wystêpuje naturalnie w paznokciach, dziêki czemu s¹ mocne. Kiedy nasza dietetyczna krzemionka zawodzi, niedobór powoduje, ¿e nasze paznokcie wolniej rosn¹ i staj¹ siê bardziej kruche. To samo dotyczy w³osów. Krzemionka odgrywa równie¿ rolê w utrzymaniu elastycznoœci skóry i zdrowiu kolagenu. Krzemionka pomaga tworzyæ budulec kolagenu, wa¿nego bia³ka znajduj¹cego siê w skórze, krwi, chrz¹stkach, miêœniach i wiêzad³ach. Kolagen jest niezbêdny do utrzymania jêdrnoœci i elastycznoœci skóry, a tak¿e zapewnienia niezbêdnej ochrony i struktury narz¹dów i stawów.;SILICA;1;{Zagêstnik, Wype³niacz}
380;Olej jojoba ;1;"Bogaty w poprawiaj¹ce urodê witaminy A, E i D, a tak¿e przeciwutleniacze i kwasy t³uszczowe, olej jojoba jest w rzeczywistoœci woskowym estrem o niezwykle podobnych w³aœciwoœciach do sebum naszej skóry. Oznacza to, ¿e olejek jest w stanie wnikn¹æ g³êboko, docieraj¹c do dolnej warstwy skóry, zapewniaj¹c maksymalne od¿ywienie. Jojoba ma równie¿ naturalne dzia³anie przeciwbakteryjne, przeciwgrzybicze, przeciwwirusowe, przeciwbólowe, hipoalergiczne i przeciwzapalne.

Jak ju¿ wspomnieliœmy, olejek jojoba naœladuje wydzielanie sebum, dziêki czemu jest skuteczn¹ naturaln¹ od¿ywk¹. (Dobra wiadomoœæ dla osób z such¹ lub podra¿nion¹ cer¹)

Olejek jojoba jest œwietnym œrodkiem do demakija¿u. Poniewa¿ olej jojoba jest w stanie wnikn¹æ a¿ do macierzy skóry, mo¿e pomóc przenosiæ ze sob¹ sk³adniki aktywne, takie jak kwas salicylowy i retinol, pozwalaj¹c im wykonywaæ swoj¹ najlepsz¹ pracê.

Jojoba ma naturalne sposoby na ochronê przed szkodliwym dzia³aniem s³oñca. Jojoba jest jedyn¹ roœlin¹ na œwiecie produkuj¹c¹ czyste p³ynne estry woskowe. Gromadzi te d³ugie cz¹steczki w zewnêtrznej warstwie liœci, aby zapobiec przenikaniu promieni UV przez liœcie. To samo dzieje siê z Twoj¹ skór¹, jeœli zastosujesz olejek jojoba.

Kiedy skóra jest oczyszczona z naturalnego sebum, gruczo³y ³ojowe mog¹ byæ obci¹¿one. Tworzy to b³êdne ko³o nadprodukcji i nadmiernej rafinacji ropy, co prowadzi do prze³omów. Jojoba mo¿e zresetowaæ cerê poprzez przywrócenie równowagi.

Olejek jojoba znajduje zastosowanie w kosmetykach do pielêgnacji w³osów. Nie tylko skutecznie nawil¿a, ale równie¿ nie obci¹¿a w³osów. Dodaj kilka kropli jojoba do kremu nawil¿aj¹cego lub termoochronnego, aby z³agodziæ puszenie i puszenie siê w³osów. ";SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL;1;{Emolient}
381;Kopolimer akrylanu sodu / Taurynian akrylometylu sodu ;3;Polimer na bazie ksylotów sodu i akrylu. Sk³adnik jest u¿ywany w kosmetyce wy³¹cznie ze wzglêdów praktycznych: jako emulgator, stabilizator emulsji i zagêstnik, a ca³y sk³adnik tworzy stabilne zawiesiny. Dobrze zagêszcza: skwalan, skwalen, glicerynê, oleje mineralne i naturalne, alkohole, ksyloty itp. Sk³adnik tworzy na skórze lekk¹, matow¹ konsystencjê. Na skórze sk³adnik jest ca³kowicie bezpieczny, ale w kontakcie z oczami mo¿e powodowaæ lekkie podra¿nienie, nie ma w³aœciwoœci rakotwórczych ani mutogennych. ;SODIUM ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER ;3;{Zagêstnik, Substancja filmotwórcza}
382;Sól sodu kwasu any¿owego pozyskiwanego z kopru;2;To pochodz¹ca z roœlin sól sodowa kwasu organicznego o silnej skutecznoœci przeciwdrobnoustrojowej przy wartoœci pH poni¿ej 6,0, stosowana szczególnie przeciwko dro¿d¿om i pleœniom. ;SODIUM ANISATE;1;{Konserwant}
383;Sól sodowa fosforanu askorbylu;2;"Fosforan sodowy askorbylu jest stabiln¹ pochodn¹ witaminy C. Produkt jest proszkiem o barwie od bia³ej do jasnobe¿owej, praktycznie bezwonny.Rozpuszczalna w wodzie pochodna witaminy C, jest zdolna wnikaæ w skórê i pozostaæ aktywna. Fosforan sodu askorbylu wykazuje ró¿ne krótko- i d³ugoterminowe dzia³anie kwasu askorbinowego bez jego wad - niestabilnoœci i podra¿nienia skóry.

Dzia³a przeciwzapalnie i zwalcza bakterie powoduj¹ce tr¹dzik Chroni przed uszkodzeniami spowodowanymi nadmiernym promieniowaniem UV Silny antyoksydant.

Fosforan sodu askorbylu zachowuje stabilnoœæ 60-75% po 365 dniach przechowywania w ciemnoœci, a istniej¹ mocne dowody na to, ¿e faktycznie wnika w naskórek, gdzie jest skutecznie przekszta³cany w kwas askorbinowy, który mo¿e wspomagaæ syntezê kolagenu i gojenie drobnych ran, zmniejszaj¹ pigmentacjê skóry i chroni¹ przed powstawaniem nowotworów wywo³anych promieniami UVB.

Jest jedna w³aœciwoœæ zwi¹zana z fosforanem askorbylu sodu, której kwas askorbinowy nie posiada - chroni g³êbokie warstwy skóry przed wolnymi rodnikami lepiej ni¿ kwas askorbinowy.

Zastosowanie: balsamy, kremy na dzieñ i na noc, produkty do rozjaœniania skóry, pielêgnacja po opalaniu i po opalaniu, makija¿. ";SODIUM ASCORBYL PHOSPHATE;1;{Antyoksydant}
384;Benzoesan Sodu;3;Jest jednym z najsilniejszych konserwantów, zapobiega pojawianiu siê pleœni, dro¿d¿y, spowalnia reakcje oksydacyjne, a tak¿e hamuje aktywnoœæ enzymów niszcz¹cych t³uszcze i skrobiê. Jest stosowany w przemyœle spo¿ywczym do konserwowania miêsa, ryb, margaryny, majonezu, ketchupu i napojów gazowanych. Poniewa¿ benzoesan sodu nie jest bardzo skuteczny przeciwko bakteriom, mo¿na go ³¹czyæ z sorbinianem potasu lub kwasem mlekowym. Maksymalna dawka benzoesanu sodu wynosi 0,5%. Nale¿y go wprowadziæ do fazy wodnej lub na koniec przygotowywania kremu. W przeciwieñstwie do wielu konserwantów, benzoesan sodu nie traci swoich w³aœciwoœci po podgrzaniu i w kwaœnym œrodowisku. Benzoesan sodu jest bezpieczny dla ludzi i stosowany jako dodatek do ¿ywnoœci oraz jako sk³adnik kosmetyczny, ale w rzadkich przypadkach wystêpuje indywidualna nietolerancja. ;SODIUM BENZOATE;2;{Konserwant}
385;Chlorwk Sodu (sól);2;"Chlorek sodu jest zwi¹zkiem jonowym o wzorze chemicznym NaCl. Najprawdopodobniej znasz chlorek sodu w postaci soli kuchennej, która jest u¿ywana jako przyprawa, pieczenie i konserwant. Ponadto chlorek sodu jest sol¹, która przyczynia siê do zasolenia wody morskiej oraz p³ynu pozakomórkowego wielu organizmów wielokomórkowych. Jest to bia³a substancja krystaliczna.

Chlorek sodu to wielofunkcyjny sk³adnik stosowany w kosmetykach i produktach higieny osobistej jako œrodek wi¹¿¹cy, produkt do pielêgnacji jamy ustnej, ³agodnie œcieraj¹cy, zagêszczaj¹cy i konserwuj¹cy.

Poniewa¿ chlorek sodu wystêpuje w postaci ma³ych krystalicznych cz¹stek, sk³adnik ten mo¿e dzia³aæ jako ³agodny œrodek œcierny w produktach takich jak peelingi do cia³a i twarzy. Produkty te pomog¹ z³uszczyæ górne warstwy skóry, usuwaj¹c makija¿, nadmiar sebum, brud i inne zanieczyszczenia, które mog³y nagromadziæ siê w ci¹gu dnia.

Inn¹ funkcj¹ chlorku sodu w kosmetykach i produktach do pielêgnacji cia³a jest zagêszczanie. Zagêszczacze i œrodki ¿eluj¹ce w mieszaninach rozpuszczalników organicznych i roztworów wodnych s¹ szeroko stosowane w przemyœle kosmetycznym ze wzglêdu na ich zdolnoœæ do nadawania po¿¹danych w³aœciwoœci produktom, tj. konsystencji, lepkoœci czy adhezji.

Chlorek sodu jest stosowany w produktach do higieny jamy ustnej, szamponach, perfumach, skórze, w³osach, paznokciach, œrodkach czyszcz¹cych, produktach do opalania, kosmetykach i produktach do k¹pieli. ";SODIUM CHLORIDE;1;{Zagêstnik, antyseptyczne, œcierliwo}
386;Mieszanina soli sodowych glicynianów kwasów t³uszczowych oleju kokosowego;2;"Sodium Cocoamphoacetate to surfaktant, który delikatnie oczyszcza skórê i w³osy, tworz¹c luksusow¹ pianê. Czêsto znajduje siê w pielêgnacji w³osów, poniewa¿ pe³ni funkcjê kondycjonuj¹c¹.

Kokoamfooctan sodu pozyskiwany jest z kwasów t³uszczowych oleju kokosowego. Jest to zwi¹zek powierzchniowo czynny z hydrofobowym ogonem i hydrofilow¹ g³ówk¹. Oznacza to, ¿e przyci¹ga olej i wodê, pomagaj¹c wymieszaæ ró¿ne sk³adniki formu³y, a tak¿e sebum i zanieczyszczenia, które s¹ usuwane ze skóry i zmywane wod¹. Jest uwa¿any za ³agodniejszy ni¿ laurylosiarczan sodu (SLS) i dlatego jest dobr¹ alternatyw¹ dla tych, którzy chc¹ go unikn¹æ.

Kokoamfooctan sodu ma nie tylko doskona³e w³aœciwoœci oczyszczaj¹ce, ale jest równie¿ ceniony za wiele innych w³aœciwoœci. Jako stabilizator piany, zwiêksza napiêcie powierzchniowe cieczy otaczaj¹cej poszczególne b¹belki, co skutkuje bogat¹ pian¹, która nie tylko znika. Pielêgnuje równie¿ w³osy i pomaga kremom i ¿elom pod prysznic g³adko rozprowadzaæ siê po skórze. ";SODIUM COCOAMPHOACETATE;1;{Substancja myj¹ca, Detergent, Zwi¹zek powierzchniowo czynny}
387;Sól sodowa siarczanu alkoholi t³uszczowych z oleju kokosowego;2;"SCS, czyli Sodium Coco Sulfate to sól sodowa siarczanu alkoholi t³uszczowych z oleju kokosowego. Jest pó³syntetyczn¹ substancj¹ myj¹c¹ pochodzenia roœlinnego, a konkretnie - anionowym zwi¹zkiem powierzchniowo-czynnym. W kosmetykach pe³ni funkcjê detergentu b¹dŸ emulgatora. Posiada silne w³aœciwoœci oczyszczaj¹ce, pianotwórcze (jest odpowiedzialna za wytwarzanie i stabilizacjê piany) i antystatyczne (pomaga zapobiec np. nadmiernemu elektryzowaniu w³osów).

SCS otrzymuje siê przy pomocy kwasu siarkowego (VI) lub tlenku siarki (VI), które reaguj¹ z alkoholami t³uszczowymi, a nastêpnie zostaj¹ zobojêtnione. Sodium Coco Sulfate posiada mniejsze potencjalnie dra¿ni¹ce w³aœciwoœci ni¿ szeroko stosowane w kosmetyce detergenty SLS i SLES, wci¹¿ jednak stanowi doœæ silny œrodek myj¹cy. Warto mieæ to na uwadze posiadaj¹c wyj¹tkowo wra¿liw¹, sk³onn¹ do podra¿nieñ skórê.";SODIUM COCO-SULFATE;1;{Substancja myj¹ca, Detergent, Zwi¹zek powierzchniowo czynny}
388;Sól sodowa kondensatu alaniny i kwasów t³uszczowych z oleju kokosowego;2;£agodny œrodek myj¹cy o w³aœciwoœciach bakteriobójczych, zmiêkczaj¹cych i tonizuj¹cych.;SODIUM COCOYL ALANINATE;1;{Substancja myj¹ca, Detergent, Zwi¹zek powierzchniowo czynny, Emulgator}
389;Hydrolizat protein owsa;2;Przeciwœwi¹dowy œrodek ochronny, który dzia³a koj¹co na wra¿liw¹ skórê. Jego zawartoœæ lipidów zapewnia lepsze w³aœciwoœci poœlizgowe i zmiêkczaj¹ce. Jest to bardzo miêkkie bia³ko roœlinne otrzymywane metodami hydrolizy kwasowej, enzymatycznej lub innymi.;HYDROLYZED OAT PROTEIN;1;{Substancja aktywna}
